2023-03-12 01:32:46.1581 INFO  reside is added to LearnedWords
2023-03-12 01:42:19.1197 INFO  chunk is added to LearnedWords
2023-03-12 01:43:25.0844 INFO  intrusive is added to LearnedWords
2023-03-12 01:46:10.4165 INFO  alligator is added to LearnedWords
2023-03-12 01:46:40.6482 INFO  lung is added to LearnedWords
2023-03-12 02:05:20.4871 INFO said  Logged out
2023-03-12 03:10:05.8486 INFO said  Loged
2023-03-12 03:10:13.4833 INFO said  Logged out
2023-03-12 15:05:51.5478 INFO said  Loged
2023-03-12 15:05:58.6715 INFO said  Logged out
2023-03-12 15:07:05.4155 INFO said  Loged
2023-03-12 15:07:14.0094 INFO said  Logged out
2023-03-12 15:08:00.8012 INFO said  Loged
2023-03-12 15:09:10.6788 INFO said  Logged out
2023-03-12 16:21:54.3500 INFO said  Loged
2023-03-12 16:23:45.0346 INFO said  Loged
2023-03-12 16:24:53.2314 INFO said  Loged
2023-03-12 16:28:37.9573 INFO said  Loged
2023-03-12 16:29:01.4721 INFO said  Logged out
2023-03-12 16:29:24.3922 INFO said  Loged
2023-03-12 16:29:52.3523 INFO said  Logged out
2023-03-12 17:08:56.4932 INFO said  Loged
2023-03-12 17:09:20.9367 INFO said  Logged out
2023-03-12 17:11:39.4142 INFO said  Loged
2023-03-12 17:12:01.3514 INFO said  Logged out
2023-03-12 17:13:09.4391 INFO said  Loged
2023-03-12 17:13:52.3372 INFO said  Logged out
2023-03-12 17:14:24.0479 INFO said  Loged
2023-03-12 17:15:38.1010 INFO said  Logged out
